                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67098,                0.54945,                0.99784,                0.98132,                      1,                 0.9936,                0.85368,                0.50338,                0.41209,                0.91085,               0.001307,               0.001307,               0.001307
                     37,                 0.6644,                0.57521,                0.99867,                0.98137,                      1,                0.99167,                0.85527,                0.51063,                0.42314,                0.91416,              0.0012872,              0.0012872,              0.0012872
                     38,                0.67433,                0.57311,                0.98966,                0.98229,                0.99027,                0.98719,                0.85356,                0.50604,                0.45437,                0.90817,              0.0012674,              0.0012674,              0.0012674
                     39,                0.69825,                0.60412,                  1.017,                0.98085,                0.98214,                0.98603,                0.84078,                0.50689,                0.44871,                0.90784,              0.0012476,              0.0012476,              0.0012476
                     40,                0.61614,                0.54898,                0.96906,                 0.9716,                      1,                0.99178,                0.85361,                0.51178,                0.42344,                0.91914,              0.0012278,              0.0012278,              0.0012278
                     41,                0.73112,                0.58865,                 1.0519,                0.97259,                      1,                 0.9917,                0.84751,                0.51309,                0.42766,                0.91935,               0.001208,               0.001208,               0.001208
                     42,                0.66426,                0.56704,                0.98981,                0.97374,                0.99314,                0.98894,                0.83425,                0.52364,                0.44124,                0.92971,              0.0011882,              0.0011882,              0.0011882
                     43,                0.58287,                0.50669,                0.94762,                0.97377,                0.99427,                0.98621,                0.83253,                0.52397,                0.45782,                 0.9278,              0.0011684,              0.0011684,              0.0011684
                     44,                0.61325,                0.48972,                 0.9636,                0.98185,                      1,                0.99125,                0.85554,                0.50589,                0.39444,                0.91234,              0.0011486,              0.0011486,              0.0011486
                     45,                0.67948,                0.54796,                 1.0023,                0.98161,                      1,                0.99295,                 0.8597,                0.50958,                0.38283,                0.92446,              0.0011288,              0.0011288,              0.0011288
                     46,                0.65858,                0.54309,                 0.9854,                 0.9813,                      1,                 0.9919,                0.85687,                 0.5114,                0.41117,                0.93616,               0.001109,               0.001109,               0.001109
                     47,                0.62289,                0.51783,                0.96418,                0.98211,                0.98007,                0.98823,                0.83228,                0.54296,                0.50188,                0.93965,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.5754,                 0.5067,                0.96063,                0.97471,                0.94643,                0.98646,                0.84786,                 0.5159,                0.49153,                0.91442,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68923,                0.54646,                 1.0102,                0.97877,                0.94643,                0.98668,                0.85487,                0.52483,                0.48693,                0.91781,              0.0010496,              0.0010496,              0.0010496
                     50,                0.59428,                0.49996,                0.96984,                0.98198,                0.97313,                0.99035,                0.86886,                0.50274,                0.41449,                0.90752,              0.0010298,              0.0010298,              0.0010298
