                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0412,                 3.2411,                 1.2073,                0.02067,                0.88571,                0.02103,                0.01284,                 0.6208,                 3.2064,                 1.1059,                  4e-05,                  4e-05,                  4e-05
                      2,                0.81914,                 2.9871,                 1.0538,                0.02333,                      1,                0.22576,                0.20082,                0.57681,                 2.9374,                0.92451,              9.505e-05,              9.505e-05,              9.505e-05
                      3,                0.70927,                 2.3889,                 0.9838,                0.02333,                      1,                0.36004,                0.31899,                0.51733,                 2.7513,                0.83941,             0.00014416,             0.00014416,             0.00014416
                      4,                0.71902,                 1.5483,                0.98374,                      1,                0.20219,                0.48595,                0.40344,                0.56228,                 2.5208,                0.84306,             0.00018733,             0.00018733,             0.00018733
                      5,                0.65419,                 1.0544,                0.94141,                 0.8358,                0.43661,                0.69313,                0.58182,                0.52521,                  2.173,                0.82742,             0.00022456,             0.00022456,             0.00022456
                      6,                0.61706,                0.95845,                 0.9224,                0.89629,                0.49413,                0.80885,                0.68536,                0.51217,                 2.0285,                0.81502,             0.00025585,             0.00025585,             0.00025585
                      7,                0.65989,                0.97032,                0.97083,                 0.9456,                0.49704,                0.85855,                0.74852,                0.49888,                  1.917,                0.81894,              0.0002812,              0.0002812,              0.0002812
                      8,                0.60408,                0.77755,                0.92375,                      1,                0.51319,                0.87805,                0.75407,                0.50953,                 1.9429,                0.82501,             0.00030061,             0.00030061,             0.00030061
                      9,                0.54424,                0.77355,                0.90957,                      1,                0.52406,                0.88626,                0.74282,                0.47945,                 2.0244,                0.82154,             0.00031408,             0.00031408,             0.00031408
                     10,                0.51817,                0.68723,                0.87233,                      1,                0.48413,                0.87526,                0.76318,                0.48078,                 2.0308,                0.82697,             0.00032161,             0.00032161,             0.00032161
                     11,                0.46061,                 0.6722,                0.86213,                0.97848,                0.51429,                0.80516,                0.69225,                0.53973,                 2.0096,                0.83328,              0.0003232,              0.0003232,              0.0003232
                     12,                0.43095,                0.62746,                0.83878,                0.93909,                0.51429,                0.74833,                0.63264,                0.60181,                 1.9863,                0.85123,             0.00031885,             0.00031885,             0.00031885
                     13,                0.50198,                0.70863,                0.85869,                0.94267,                0.47021,                 0.7687,                0.65004,                0.49915,                 1.8804,                0.84281,             0.00030856,             0.00030856,             0.00030856
                     14,                0.44779,                0.61896,                0.81526,                0.94411,                0.48283,                0.76322,                0.65807,                0.50953,                 1.8845,                0.85143,             0.00029233,             0.00029233,             0.00029233
                     15,                0.40702,                0.61321,                0.83266,                0.94913,                0.53338,                0.77252,                0.62954,                0.57113,                 1.8767,                0.85978,             0.00027016,             0.00027016,             0.00027016
                     16,                0.47067,                0.60009,                0.83981,                0.90355,                0.53558,                0.80339,                 0.6517,                0.59245,                  1.832,                0.86628,             0.00024205,             0.00024205,             0.00024205
                     17,                0.45595,                 0.5817,                0.82012,                0.95767,                0.64673,                0.91082,                0.73865,                0.51479,                 1.6627,                0.85093,               0.000208,               0.000208,               0.000208
                     18,                0.39266,                 0.5298,                0.81012,                0.94368,                    0.8,                0.95284,                0.81064,                0.50186,                 1.5237,                  0.841,             0.00016801,             0.00016801,             0.00016801
                     19,                0.42089,                0.53602,                 0.8383,                0.95279,                0.88571,                0.97615,                0.85099,                0.47649,                 1.4123,                0.83224,             0.00012208,             0.00012208,             0.00012208
                     20,                0.40572,                0.52753,                 0.8251,                0.97221,                0.91429,                0.98456,                0.89415,                0.44404,                 1.3214,                 0.8238,              7.021e-05,              7.021e-05,              7.021e-05
