                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0412,                 3.2411,                 1.2073,                0.02067,                0.88571,                0.02103,                0.01284,                 0.6208,                 3.2064,                 1.1059,                  4e-05,                  4e-05,                  4e-05
                      2,                0.81906,                  2.982,                 1.0533,                0.02333,                      1,                0.22627,                0.20064,                0.56935,                 2.9308,                0.92169,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      3,                 0.7124,                 2.3583,                 0.9818,                0.02333,                      1,                0.41498,                0.34494,                0.53294,                 2.7237,                0.84268,             0.00015208,             0.00015208,             0.00015208
                      4,                0.73525,                 1.5043,                0.98936,                      1,                0.26902,                0.59099,                0.48431,                0.60731,                 2.4116,                0.85301,             0.00020367,             0.00020367,             0.00020367
                      5,                0.66195,                 1.0342,                 0.9399,                0.80475,                0.47138,                0.74981,                0.62358,                0.56289,                  2.104,                0.84053,             0.00025228,             0.00025228,             0.00025228
                      6,                0.61861,                0.96218,                0.92126,                0.91057,                0.51429,                0.82156,                0.69505,                0.50715,                 2.0273,                0.82329,             0.00029792,             0.00029792,             0.00029792
                      7,                0.62809,                0.93942,                 0.9375,                      1,                0.47142,                 0.9147,                0.77931,                0.47925,                 2.0006,                0.81503,              0.0003406,              0.0003406,              0.0003406
                      8,                0.61886,                0.78063,                0.92749,                      1,                  0.407,                0.90631,                0.76815,                0.51293,                 2.0643,                0.82811,              0.0003803,              0.0003803,              0.0003803
                      9,                0.52774,                0.78158,                0.90742,                      1,                0.34252,                0.91184,                0.79609,                0.48519,                 2.1601,                 0.8204,             0.00041704,             0.00041704,             0.00041704
                     10,                0.52809,                0.68033,                0.87076,                      1,                0.41387,                0.91659,                0.81406,                0.47614,                 2.1052,                0.81948,             0.00045081,             0.00045081,             0.00045081
                     11,                0.59284,                0.67567,                 0.9145,                      1,                0.59242,                0.96396,                 0.8538,                0.49949,                 1.6506,                0.82197,              0.0004816,              0.0004816,              0.0004816
                     12,                0.54601,                0.64522,                0.89437,                0.93029,                0.76283,                  0.975,                0.88211,                0.47058,                 1.4194,                0.81477,             0.00050942,             0.00050942,             0.00050942
                     13,                0.53478,                0.62575,                0.91066,                 0.9653,                0.94286,                0.98877,                0.88128,                0.49927,                 1.1544,                0.84246,             0.00053428,             0.00053428,             0.00053428
                     14,                0.52807,                    0.6,                0.90627,                0.96999,                0.92354,                 0.9883,                0.85866,                0.53651,                 1.1574,                 0.8371,             0.00055617,             0.00055617,             0.00055617
                     15,                0.50528,                0.59107,                0.86651,                      1,                0.85434,                0.97664,                0.83182,                0.58104,                 1.3885,                0.84376,             0.00057508,             0.00057508,             0.00057508
                     16,                0.48907,                0.54593,                0.85317,                      1,                0.82545,                0.98413,                0.84999,                0.54658,                  1.434,                0.83189,             0.00059103,             0.00059103,             0.00059103
                     17,                0.52204,                  0.574,                 0.8789,                      1,                0.93476,                 0.9925,                0.87916,                0.56155,                 1.2851,                0.86411,               0.000604,               0.000604,               0.000604
                     18,                0.59011,                0.67537,                 1.0079,                0.99192,                0.97143,                0.99444,                0.87023,                0.57295,                 1.2078,                0.87324,               0.000614,               0.000614,               0.000614
                     19,                0.48936,                0.57416,                0.87558,                0.96281,                0.97143,                0.99049,                0.87226,                0.55331,                 1.2408,                0.88321,             0.00062104,             0.00062104,             0.00062104
                     20,                0.55038,                 0.7779,                0.91824,                0.99431,                0.97143,                0.99342,                0.88325,                0.51492,                 1.2239,                0.86743,             0.00062511,             0.00062511,             0.00062511
                     21,                0.48848,                0.55227,                0.85503,                      1,                0.98951,                  0.995,                0.88369,                0.54342,                 1.1273,                0.85042,              0.0006262,              0.0006262,              0.0006262
                     22,                0.54912,                0.56451,                0.93367,                      1,                0.97972,                  0.995,                0.87659,                0.52394,                 1.0564,                0.84328,             0.00062433,             0.00062433,             0.00062433
                     23,                0.49383,                0.56305,                0.86971,                      1,                0.97875,                  0.995,                 0.8949,                 0.4899,                 1.0925,                0.84616,             0.00061948,             0.00061948,             0.00061948
                     24,                 0.4546,                0.66327,                0.87523,                      1,                0.98905,                  0.995,                0.90361,                0.47046,                 1.0703,                0.84355,             0.00061167,             0.00061167,             0.00061167
                     25,                 0.4541,                0.54342,                0.86772,                      1,                0.99941,                  0.995,                 0.9267,                0.43635,                 1.0081,                0.83284,             0.00060088,             0.00060088,             0.00060088
                     26,                0.43619,                0.49284,                0.88939,                0.99603,                      1,                  0.995,                0.91534,                0.44411,                0.94057,                0.83526,             0.00058712,             0.00058712,             0.00058712
                     27,                0.43782,                0.54849,                0.89326,                0.99477,                      1,                  0.995,                0.91411,                0.45251,                0.82523,                 0.8424,              0.0005704,              0.0005704,              0.0005704
                     28,                0.48081,                0.67366,                0.89423,                0.99584,                      1,                  0.995,                0.92482,                0.41637,                0.76234,                0.83616,              0.0005507,              0.0005507,              0.0005507
                     29,                0.42291,                0.52497,                0.90015,                0.99584,                      1,                  0.995,                0.92482,                0.41637,                0.76234,                0.83616,             0.00052804,             0.00052804,             0.00052804
                     30,                0.46551,                0.50409,                0.88104,                 0.9958,                      1,                  0.995,                0.93863,                0.38563,                 0.7233,                0.83195,             0.00050241,             0.00050241,             0.00050241
                     31,                0.38726,                0.51211,                0.84761,                0.99559,                      1,                  0.995,                0.92469,                0.41013,                0.73713,                0.84192,              0.0004738,              0.0004738,              0.0004738
                     32,                0.41499,                0.49649,                 0.8672,                0.99554,                      1,                  0.995,                0.93121,                0.43354,                0.75957,                0.85071,             0.00044222,             0.00044222,             0.00044222
                     33,                 0.3702,                0.47729,                0.81958,                0.99554,                      1,                  0.995,                0.93121,                0.43354,                0.75957,                0.85071,             0.00040768,             0.00040768,             0.00040768
                     34,                0.35637,                0.46237,                0.81123,                0.99518,                      1,                  0.995,                0.92585,                0.41653,                0.74903,                 0.8457,              0.0003665,              0.0003665,              0.0003665
                     35,                0.35627,                  0.485,                0.82306,                0.99554,                      1,                  0.995,                0.94962,                0.39176,                0.68999,                0.83698,               0.000317,               0.000317,               0.000317
                     36,                0.34126,                0.44586,                0.82892,                0.99659,                      1,                  0.995,                 0.9284,                0.39731,                 0.6247,                0.83596,              0.0002675,              0.0002675,              0.0002675
                     37,                 0.4333,                0.52597,                 0.9022,                0.99659,                      1,                  0.995,                 0.9284,                0.39731,                 0.6247,                0.83596,               0.000218,               0.000218,               0.000218
                     38,                0.35219,                0.44414,                0.85586,                0.99775,                      1,                  0.995,                0.93499,                0.39171,                0.57128,                0.83514,              0.0001685,              0.0001685,              0.0001685
                     39,                0.32865,                0.43655,                0.80583,                0.99803,                      1,                  0.995,                0.94508,                0.38567,                0.53329,                0.83651,               0.000119,               0.000119,               0.000119
                     40,                 0.3844,                0.57351,                 0.8245,                0.99808,                      1,                  0.995,                0.94671,                0.38256,                 0.5035,                0.83854,               6.95e-05,               6.95e-05,               6.95e-05
