                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0884,                 3.0834,                 1.2384,                   0.02,                0.85714,                  0.022,                0.01188,                0.64256,                 3.2171,                 1.1285,                  4e-05,                  4e-05,                  4e-05
                      2,                0.76023,                 2.9177,                0.98587,                0.02333,                      1,                0.16945,                0.14649,                0.61361,                 3.0127,                 0.9599,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                0.65076,                 2.1332,                 0.9151,                0.02333,                      1,                0.33179,                 0.2729,                0.60351,                 2.8045,                0.88043,             0.00012832,             0.00012832,             0.00012832
                      4,                 0.5392,                  1.372,                0.86332,                      1,                0.30009,                0.60892,                0.50075,                0.69989,                 2.5027,                0.87588,             0.00015466,             0.00015466,             0.00015466
                      5,                0.52771,                0.86084,                0.83147,                0.94794,                0.57143,                0.70917,                0.60671,                0.59651,                 2.2181,                0.84884,             0.00016912,             0.00016912,             0.00016912
                      6,                0.53496,                0.74282,                0.85166,                0.90565,                0.57143,                0.76533,                0.64885,                0.55752,                 2.1298,                0.85094,              0.0001717,              0.0001717,              0.0001717
                      7,                0.49853,                0.78299,                0.86614,                0.86415,                0.54533,                0.77896,                 0.6583,                0.55113,                 2.0406,                0.85661,              0.0001624,              0.0001624,              0.0001624
                      8,                0.46411,                0.72077,                0.83703,                0.87054,                0.57657,                0.79774,                0.67495,                0.54793,                 1.9804,                0.84997,             0.00014122,             0.00014122,             0.00014122
                      9,                0.49855,                0.68252,                0.84769,                0.83662,                0.58552,                 0.8118,                0.68876,                0.54692,                 1.8782,                0.84648,             0.00010816,             0.00010816,             0.00010816
                     10,                0.43858,                0.62423,                0.82803,                0.91248,                0.59595,                  0.844,                0.69384,                0.53452,                 1.8351,                0.84161,              6.322e-05,              6.322e-05,              6.322e-05
