                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98542,                 3.1927,                 1.1804,                0.02178,                0.93333,                0.03578,                0.02646,                0.61032,                 3.1215,                 1.0344,                  6e-05,                  6e-05,                  6e-05
                      2,                0.77224,                 2.5832,                 1.0123,                0.02333,                      1,                0.32194,                 0.2859,                0.56158,                 2.7783,                0.88388,             0.00013861,             0.00013861,             0.00013861
                      3,                0.68296,                 1.5029,                0.93718,                      1,                0.27145,                 0.5376,                 0.4469,                0.57972,                 2.3751,                0.87675,             0.00021564,             0.00021564,             0.00021564
                      4,                  0.596,                0.87337,                0.91283,                      1,                0.47757,                0.93599,                0.79311,                0.61644,                 1.9402,                0.89297,             0.00029109,             0.00029109,             0.00029109
                      5,                0.63074,                0.77379,                0.93904,                      1,                0.52385,                0.98391,                0.84997,                0.56057,                 1.8241,                0.87262,             0.00036495,             0.00036495,             0.00036495
                      6,                0.62947,                0.72576,                0.94984,                      1,                0.65394,                0.97902,                0.81303,                0.68853,                 1.7251,                0.87823,             0.00043723,             0.00043723,             0.00043723
                      7,                0.56675,                0.68651,                0.90549,                      1,                0.67858,                0.96015,                0.81465,                0.59839,                 1.5925,                 0.8601,             0.00050792,             0.00050792,             0.00050792
                      8,                0.61142,                0.69312,                0.91991,                0.95001,                0.72399,                0.95371,                0.80867,                0.62533,                 1.3765,                 0.8594,             0.00057703,             0.00057703,             0.00057703
                      9,                0.56992,                0.63781,                0.89456,                0.97997,                0.93213,                0.98984,                0.83525,                0.57173,                 1.2307,                0.85464,             0.00064456,             0.00064456,             0.00064456
                     10,                0.55378,                0.63159,                0.89014,                0.97945,                0.90767,                0.99191,                0.85181,                0.56918,                 1.2762,                0.86653,              0.0007105,              0.0007105,              0.0007105
                     11,                0.58892,                0.62328,                0.93057,                      1,                0.90428,                0.99405,                0.86901,                0.55851,                 1.3972,                0.85909,             0.00077486,             0.00077486,             0.00077486
                     12,                0.53888,                0.60069,                0.91297,                      1,                0.93457,                0.99453,                0.88781,                0.51791,                 1.2912,                0.88307,             0.00083763,             0.00083763,             0.00083763
                     13,                0.56769,                0.59616,                0.90383,                0.99017,                0.95962,                0.99443,                0.87951,                0.54342,                 1.2609,                0.89466,             0.00089882,             0.00089882,             0.00089882
                     14,                0.58326,                0.61423,                0.93137,                0.98005,                0.99048,                0.99462,                0.86452,                0.57573,                 1.0724,                 0.9076,             0.00095843,             0.00095843,             0.00095843
                     15,                0.54107,                0.58101,                0.91106,                0.99053,                0.99579,                0.99462,                0.88631,                0.53568,                0.97014,                0.92034,              0.0010165,              0.0010165,              0.0010165
                     16,                0.48328,                0.56462,                0.89505,                0.97301,                      1,                0.99395,                0.87857,                0.52832,                 1.0832,                0.90336,              0.0010729,              0.0010729,              0.0010729
                     17,                0.52454,                0.55952,                0.89906,                0.97031,                      1,                0.99257,                0.86318,                0.56101,                  1.101,                0.90632,              0.0011277,              0.0011277,              0.0011277
                     18,                0.49627,                0.53116,                0.89615,                0.98525,                0.99048,                0.99481,                0.88292,                0.51038,                0.82768,                0.89409,               0.001181,               0.001181,               0.001181
                     19,                0.50143,                 0.5494,                0.89395,                 0.9904,                0.98232,                 0.9949,                0.87042,                0.53402,                  0.778,                0.90092,              0.0012327,              0.0012327,              0.0012327
                     20,                0.50098,                 0.5092,                 0.9037,                0.98098,                0.98252,                0.99481,                0.87854,                0.51338,                0.74826,                0.88412,              0.0012828,              0.0012828,              0.0012828
                     21,                0.48277,                0.52219,                0.90119,                 0.9987,                0.99048,                  0.995,                0.88144,                0.49979,                0.77681,                0.89196,              0.0013313,              0.0013313,              0.0013313
                     22,                0.48745,                0.52576,                0.88867,                0.99908,                0.99048,                  0.995,                0.88296,                0.49932,                0.76323,                0.89066,              0.0013783,              0.0013783,              0.0013783
                     23,                0.50256,                0.52242,                0.89064,                0.97937,                0.99048,                0.99481,                0.87158,                 0.5321,                0.71615,                0.90027,              0.0014236,              0.0014236,              0.0014236
                     24,                0.53958,                0.55538,                0.90516,                0.98683,                0.99048,                0.99471,                0.89391,                0.47908,                0.63329,                0.89031,              0.0014674,              0.0014674,              0.0014674
                     25,                0.50519,                0.49469,                0.89393,                0.99045,                0.98824,                0.99462,                0.88206,                0.51508,                0.59711,                0.91409,              0.0015096,              0.0015096,              0.0015096
                     26,                0.52887,                0.54201,                0.92405,                0.98091,                0.97868,                0.99395,                0.88034,                0.50048,                0.62318,                0.89691,               0.001505,               0.001505,               0.001505
                     27,                0.49439,                0.50508,                0.89056,                0.97593,                0.98095,                0.99227,                0.87457,                0.51354,                0.72031,                0.89098,              0.0014852,              0.0014852,              0.0014852
                     28,                0.54126,                0.50472,                0.91478,                0.97187,                0.98719,                0.99037,                0.87802,                0.47058,                0.76463,                0.87868,              0.0014654,              0.0014654,              0.0014654
                     29,                0.48605,                 0.4809,                0.87327,                0.98092,                0.97928,                0.99137,                0.85525,                 0.5409,                0.70437,                0.90476,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.5295,                0.48516,                   0.88,                0.98894,                0.97143,                0.99346,                0.86762,                0.52294,                0.62143,                0.89674,              0.0014258,              0.0014258,              0.0014258
                     31,                0.48513,                0.46526,                0.88896,                0.98416,                0.98095,                0.99443,                0.88261,                0.48106,                0.53203,                0.87396,               0.001406,               0.001406,               0.001406
                     32,                 0.4929,                0.49372,                0.89402,                0.99055,                0.99812,                0.99453,                 0.8787,                0.52421,                0.50325,                0.88346,              0.0013862,              0.0013862,              0.0013862
                     33,                0.52047,                0.48157,                0.90312,                0.99053,                      1,                0.99443,                0.90015,                0.45301,                0.47647,                0.87371,              0.0013664,              0.0013664,              0.0013664
                     34,                0.47349,                 0.4704,                0.88824,                0.98117,                      1,                0.99481,                 0.9014,                0.47122,                0.49956,                0.87224,              0.0013466,              0.0013466,              0.0013466
